FECHA,ASIGNACION_CONTRATO,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
01/01/2016,A-0001,Aguas someras,Cuencas del Sureste,1P,22.226983,17.942488,25.34667,0.317849,1.38884,13.406992
01/01/2016,A-0001,Aguas someras,Cuencas del Sureste,2P,110.635801,86.872429,140.581863,1.762905,7.703013,74.360061
01/01/2016,A-0001,Aguas someras,Cuencas del Sureste,3P,216.909478,168.022404,289.211306,3.626727,15.846984,152.976849
01/01/2016,A-0002,Terrestre,Tampico-Misantla,1P,1.06997,1.052681,0.91146,0,0.003008,0.07427
01/01/2016,A-0002,Terrestre,Tampico-Misantla,2P,2.17602,2.143105,1.735286,0,0.005727,0.141399
01/01/2016,A-0002,Terrestre,Tampico-Misantla,3P,2.17602,2.143105,1.735286,0,0.005727,0.141399
01/01/2016,A-0003,Terrestre,Cuencas del Sureste,1P,1.870137,0.969168,3.673603,0.039239,0.327324,2.779407
01/01/2016,A-0003,Terrestre,Cuencas del Sureste,2P,1.870137,0.969168,3.673603,0.039239,0.327324,2.779407
01/01/2016,A-0003,Terrestre,Cuencas del Sureste,3P,1.870137,0.969168,3.673603,0.039239,0.327324,2.779407
01/01/2016,A-0004,Terrestre,Tampico-Misantla,1P,20.449744,13.58485,32.361166,0,2.000429,25.299743
01/01/2016,A-0004,Terrestre,Tampico-Misantla,2P,131.414234,83.730398,225.226314,0,13.895064,175.733043
01/01/2016,A-0004,Terrestre,Tampico-Misantla,3P,168.414275,105.933893,295.19155,0,18.206776,230.263936
01/01/2016,A-0006,Terrestre,Tampico-Misantla,1P,0.338486,0.338486,0.117697,0,0,0
01/01/2016,A-0006,Terrestre,Tampico-Misantla,2P,0.763807,0.763807,0.228677,0,0,0
01/01/2016,A-0006,Terrestre,Tampico-Misantla,3P,3.348848,3.348848,0.746434,0,0,0
01/01/2016,A-0007,Terrestre,Tampico-Misantla,1P,1.398516,1.037985,1.547777,0,0.105058,1.328695
01/01/2016,A-0007,Terrestre,Tampico-Misantla,2P,22.044493,13.345124,37.346784,0,2.534994,32.060479
01/01/2016,A-0007,Terrestre,Tampico-Misantla,3P,24.555188,14.791801,41.914665,0,2.845049,35.981793
01/01/2016,A-0008,Aguas someras,Cuencas del Sureste,1P,768.445342,657.382322,605.908259,8.096259,33.446752,361.568713
01/01/2016,A-0008,Aguas someras,Cuencas del Sureste,2P,1917.932768,1734.791162,999.13555,13.350635,55.153299,596.22253
01/01/2016,A-0008,Aguas someras,Cuencas del Sureste,3P,2834.411338,2601.79119,1269.067496,16.957516,70.053817,757.301282
01/01/2016,A-0010,Terrestre,Tampico-Misantla,1P,0.127789,0.112172,0.118754,0,0.002717,0.06709
