,Tipo,Contrato,Operador,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,>2025,Total,FECHA,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
0,Asociación,CNH-A1-TRION/2016,BHP Billiton Petróleo Operaciones de México,-,-,51,203,62,108,7,-,-,-,-,-,431,,,,,,,,,,
1,Asociación,CNH-A3.CÁRDENAS-MORA/2018,Petrolera Cárdenas Mora,-,-,-,53,111,127,88,89,60,51,47,466,1092,2021-01-01,Terrestre,Cuencas del Sureste,1P,40.947669,27.097822,57.24799,0.0,0.0,0.0
2,Asociación,CNH-A4.OGARRIO/2018,Deutsche Erdoel México,-,-,-,34,68,49,33,67,88,45,38,501,923,2021-01-01,Terrestre,Cuencas del Sureste,1P,30.488595,21.130709,52.404159,0.0,0.0,0.0
3,Migración,CNH-M1-EK-BALAM/2017,Pemex Exploración y Producción,-,-,65,797,945,1294,739,366,316,326,300,2503,7652,2021-01-01,Aguas someras,Cuencas del Sureste,1P,279.983509,265.521768,64.551736,0.601136,5.148173,45.312741
4,Migración,CNH-M2-SANTUARIO-EL GOLPE/2017,Petrofac México,-,-,-,53,69,106,294,155,98,68,63,698,1604,2021-01-01,Terrestre,Cuencas del Sureste,1P,85.342944,73.375385,67.616703,0.0,0.0,0.0
5,Migración,CNH-M3-MISIÓN/2018,Servicios Múltiples de Burgos,-,-,-,30,101,69,66,69,32,26,27,85,503,2021-01-01,Terrestre,Burgos,1P,19.445353,0.0,105.803889,0.450041,0.0,105.803889
6,Migración,CNH-M4-ÉBANO/2018,Diavaz,-,-,-,21,58,115,56,55,53,78,80,867,1384,2021-01-01,Terrestre,Tampico-Misantla,1P,122.49089,122.49089,47.44767,0.0,0.0,0.0
7,Migración,CNH-M5-MIQUETLA/2018,Diavaz,-,-,-,2,24,71,39,45,56,55,61,1332,1684,2021-01-01,Terrestre,Tampico-Misantla,1P,67.947337,49.979586,101.835187,0.0,0.0,0.0
8,Ronda 1.1,CNH-R01-L01-A2/2015,Hokchi Energy,2,8,5,59,71,-,-,-,-,-,-,-,145,,,,,,,,,,
9,Ronda 1.1,CNH-R01-L01-A7/2015,Talos Energy Offshore Mexico,2,9,72,96,166,7,2,-,-,-,-,-,354,,,,,,,,,,
10,Ronda 1.2,CNH-R01-L02-A1/2015,Eni México,0,56,236,306,401,570,446,432,369,575,451,4019,7861,2021-01-01,Aguas someras,Cuencas del Sureste,1P,96.900944,81.775127,80.325372,0.0,0.0,80.325372
11,Ronda 1.2,CNH-R01-L02-A2/2015,Hokchi Energy,-,25,150,128,235,484,290,227,81,73,70,1081,2846,2021-01-01,Aguas someras,Cuencas del Sureste,1P,114.670388,108.783696,34.142812,0.0,0.0,0.0
12,Ronda 1.2,CNH-R01-L02-A4/2015,Fieldwood Energy E&P México,-,28,148,36,413,328,509,458,603,885,948,3697,8054,2021-01-01,Aguas someras,Cuencas del Sureste,1P,188.52148,147.132441,211.084099,0.0,0.0,0.0
13,Ronda 1.3,CNH-R01-L03-A1/2015,Diavaz,-,-,8,1,13,26,11,13,16,2,2,21,114,2021-01-01,Terrestre,Tampico-Misantla,1P,3.52602,3.52602,2.534585,0.0,0.0,0.0
14,Ronda 1.3,CNH-R01-L03-A10/2016,Oleum del Norte,-,-,6,3,4,-,-,-,-,-,-,-,13,,,,,,,,,,
15,Ronda 1.3,CNH-R01-L03-A11/2015,Renaissance Oil Corp,-,-,9,26,1,1,1,0,-,-,-,-,38,,,,,,,,,,
16,Ronda 1.3,CNH-R01-L03-A12/2015,CMM,-,-,6,12,8,1,-,-,-,-,-,-,27,,,,,,,,,,
17,Ronda 1.3,CNH-R01-L03-A13/2015,Diarqco,-,-,10,18,5,-,-,-,-,-,-,-,34,,,,,,,,,,
18,Ronda 1.3,CNH-R01-L03-A14/2015,Canamex Energy Holdings,-,-,5,3,1,-,-,-,-,-,-,-,9,,,,,,,,,,
19,Ronda 1.3,CNH-R01-L03-A15/2015,Renaissance Oil Corp,-,-,7,7,2,1,1,0,-,-,-,-,17,,,,,,,,,,
20,Ronda 1.3,CNH-R01-L03-A16/2015,Roma Energy México,-,-,16,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,
21,Ronda 1.3,CNH-R01-L03-A17/2016,Servicios de Extracción Petrolera Lifting de México,-,-,14,13,5,-,-,-,-,-,-,-,32,,,,,,,,,,
22,Ronda 1.3,CNH-R01-L03-A18/2015,Strata,-,-,4,3,3,2,3,3,2,3,3,14,40,2021-01-01,Terrestre,Burgos,1P,0.645601,0.0,3.088595,0.005345,0.0,0.0
23,Ronda 1.3,CNH-R01-L03-A2/2015,Consorcio Petrolero 5M del Golfo,-,-,12,16,10,3,4,4,3,4,5,24,84,2021-01-01,Terrestre,Burgos,1P,7.345069,0.0,37.996778,0.037997,0.0,0.0
24,Ronda 1.3,CNH-R01-L03-A20/2016,GS Oil & Gas,-,-,13,14,38,55,26,4,4,4,6,62,226,2021-01-01,Terrestre,Burgos,1P,1.106773,0.0,5.533864,0.034978,0.0,0.0
25,Ronda 1.3,CNH-R01-L03-A21/2016,Strata,-,-,2,2,2,2,4,2,4,2,4,27,50,2021-01-01,Terrestre,Burgos,1P,0.47199,0.0,2.224669,0.001657,0.0,0.0
26,Ronda 1.3,CNH-R01-L03-A22/2015,Secadero Petróleo y Gas,-,-,17,23,4,-,-,-,-,-,-,-,43,,,,,,,,,,
27,Ronda 1.3,CNH-R01-L03-A23/2015,Perseus,-,-,17,32,13,-,-,-,-,-,-,-,61,,,,,,,,,,
28,Ronda 1.3,CNH-R01-L03-A24/2016,Tonalli Energía,-,-,10,8,4,-,-,-,-,-,-,-,22,,,,,,,,,,
29,Ronda 1.3,CNH-R01-L03-A25/2015,Renaissance Oil Corp,-,-,7,8,2,1,1,0,-,-,-,-,21,,,,,,,,,,
30,Ronda 1.3,CNH-R01-L03-A3/2015,CMM,-,-,7,12,7,1,-,-,-,-,-,-,26,,,,,,,,,,
31,Ronda 1.3,CNH-R01-L03-A4/2015,Diarqco,-,-,6,5,4,-,-,-,-,-,-,-,15,,,,,,,,,,
32,Ronda 1.3,CNH-R01-L03-A5/2015,Strata,-,-,3,3,3,2,4,4,4,4,3,24,54,2021-01-01,Terrestre,Burgos,1P,0.61485,0.0,2.847894,0.009044,0.0,0.0
33,Ronda 1.3,CNH-R01-L03-A6/2015,Diavaz,-,-,7,5,23,19,7,3,3,3,3,7,81,2021-01-01,Terrestre,Cuencas del Sureste,1P,6.704063,0.61635,25.509907,0.657571,0.0,0.0
34,Ronda 1.3,CNH-R01-L03-A7/2015,Servicios de Extracción Petrolera Lifting de México,-,-,25,42,37,48,27,21,16,13,10,78,318,2021-01-01,Terrestre,Cuencas del Sureste,1P,7.446375,6.174458,6.105202,0.0,0.0,0.0
35,Ronda 1.3,CNH-R01-L03-A8/2015,Dunas Exploración y Producción,-,-,3,7,12,0,-,-,-,-,-,-,22,,,,,,,,,,
36,Ronda 1.3,CNH-R01-L03-A9/2015,Perseus,-,-,18,18,6,-,-,-,-,-,-,-,41,,,,,,,,,,
37,Ronda 1.4,CNH-R01-L04-A1.CPP/2016,China Offshore Oil Corporation E&P Mexico,-,-,12,24,93,131,137,1,-,-,-,-,397,,,,,,,,,,
38,Ronda 1.4,CNH-R01-L04-A1.CS/2016,BP Exploration Mexico,-,-,7,9,24,154,6,-,-,-,-,-,199,,,,,,,,,,
39,Ronda 1.4,CNH-R01-L04-A2.CPP/2016,Total E&P México,-,-,23,110,10,9,9,-,-,-,-,-,162,,,,,,,,,,
40,Ronda 1.4,CNH-R01-L04-A3.CPP/2016,Chevron Energía de México,-,-,8,9,7,7,7,-,-,-,-,-,37,,,,,,,,,,
41,Ronda 1.4,CNH-R01-L04-A3.CS/2016,Equinor Upstream México,-,-,8,8,139,11,95,1,-,-,-,-,261,,,,,,,,,,
42,Ronda 1.4,CNH-R01-L04-A4.CPP/2016,China Offshore Oil Corporation E&P Mexico,-,-,12,26,121,6,6,1,-,-,-,-,172,,,,,,,,,,
43,Ronda 1.4,CNH-R01-L04-A4.CS/2016,PC Carigali Mexico Operations,-,-,14,28,86,8,8,4,-,-,-,-,147,,,,,,,,,,
44,Ronda 1.4,CNH-R01-L04-A5.CS/2016,Murphy Sur,-,-,11,13,61,16,8,4,1,-,-,-,113,,,,,,,,,,
45,Ronda 2.1,CNH-R02-L01-A10.CS/2017,Eni México,-,-,4,12,51,35,42,3,0,-,-,-,146,,,,,,,,,,
46,Ronda 2.1,CNH-R02-L01-A11.CS/2017,Repsol Exploración México,-,-,4,4,4,4,4,3,-,-,-,-,23,,,,,,,,,,
47,Ronda 2.1,CNH-R02-L01-A12.CS/2017,Lukoil Upstream México,-,-,-,8,18,71,11,-,-,-,-,-,108,,,,,,,,,,
48,Ronda 2.1,CNH-R02-L01-A14.CS/2017,Eni México,-,-,2,6,5,3,1,1,-,-,-,-,17,,,,,,,,,,
49,Ronda 2.1,CNH-R02-L01-A15.CS/2017,Total E&P México,-,-,1,10,17,8,7,-,-,-,-,-,42,,,,,,,,,,
50,Ronda 2.1,CNH-R02-L01-A2.TM/2017,Pemex Exploración y Producción,-,-,1,3,5,4,24,2,-,-,-,-,39,,,,,,,,,,
51,Ronda 2.1,CNH-R02-L01-A6.CS/2017,PC Carigali Mexico Operations,-,-,1,7,12,69,6,5,-,-,-,-,100,,,,,,,,,,
52,Ronda 2.1,CNH-R02-L01-A7.CS/2017,Eni México,-,-,4,11,70,48,4,4,-,-,-,-,140,,,,,,,,,,
53,Ronda 2.1,CNH-R02-L01-A8.CS/2017,Pemex Exploración y Producción,-,-,1,6,3,3,2,2,-,-,-,-,17,,,,,,,,,,
54,Ronda 2.1,CNH-R02-L01-A9.CS/2017,Capricorn Energy México,-,-,2,37,118,8,5,4,-,-,-,-,174,,,,,,,,,,
55,Ronda 2.2,CNH-R02-L02-A1.BG/2017,Iberoamericana de Hidrocarburos CQ,-,-,-,2,21,16,1,12,14,29,26,71,192,,,,,,,,,,
56,Ronda 2.2,CNH-R02-L02-A10.CS/2017,Pantera Exploración y Producción,-,-,0,3,15,2,23,0,0,0,0,0,45,,,,,,,,,,
57,Ronda 2.2,CNH-R02-L02-A4.BG/2017,Pantera Exploración y Producción,-,-,0,8,26,24,28,30,36,27,9,21,210,2021-01-01,Terrestre,Burgos,1P,1.30886,0.0,7.349248,0.075695,0.075695,7.349248
