,Tipo,Contrato,Operador,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,>2025,Total,FECHA,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
12,Ronda 1.2,CNH-R01-L02-A4/2015,Fieldwood Energy E&P México,-,28,148,36,413,328,509,458,603,885,948,3697,8054,2021-01-01,Aguas someras,Cuencas del Sureste,1P,188.52148,147.132441,211.084099,0.0,0.0,0.0
10,Ronda 1.2,CNH-R01-L02-A1/2015,Eni México,0,56,236,306,401,570,446,432,369,575,451,4019,7861,2021-01-01,Aguas someras,Cuencas del Sureste,1P,96.900944,81.775127,80.325372,0.0,0.0,80.325372
3,Migración,CNH-M1-EK-BALAM/2017,Pemex Exploración y Producción,-,-,65,797,945,1294,739,366,316,326,300,2503,7652,2021-01-01,Aguas someras,Cuencas del Sureste,1P,279.983509,265.521768,64.551736,0.601136,5.148173,45.312741
11,Ronda 1.2,CNH-R01-L02-A2/2015,Hokchi Energy,-,25,150,128,235,484,290,227,81,73,70,1081,2846,2021-01-01,Aguas someras,Cuencas del Sureste,1P,114.670388,108.783696,34.142812,0.0,0.0,0.0
7,Migración,CNH-M5-MIQUETLA/2018,Diavaz,-,-,-,2,24,71,39,45,56,55,61,1332,1684,2021-01-01,Terrestre,Tampico-Misantla,1P,67.947337,49.979586,101.835187,0.0,0.0,0.0
4,Migración,CNH-M2-SANTUARIO-EL GOLPE/2017,Petrofac México,-,-,-,53,69,106,294,155,98,68,63,698,1604,2021-01-01,Terrestre,Cuencas del Sureste,1P,85.342944,73.375385,67.616703,0.0,0.0,0.0
6,Migración,CNH-M4-ÉBANO/2018,Diavaz,-,-,-,21,58,115,56,55,53,78,80,867,1384,2021-01-01,Terrestre,Tampico-Misantla,1P,122.49089,122.49089,47.44767,0.0,0.0,0.0
1,Asociación,CNH-A3.CÁRDENAS-MORA/2018,Petrolera Cárdenas Mora,-,-,-,53,111,127,88,89,60,51,47,466,1092,2021-01-01,Terrestre,Cuencas del Sureste,1P,40.947669,27.097822,57.24799,0.0,0.0,0.0
2,Asociación,CNH-A4.OGARRIO/2018,Deutsche Erdoel México,-,-,-,34,68,49,33,67,88,45,38,501,923,2021-01-01,Terrestre,Cuencas del Sureste,1P,30.488595,21.130709,52.404159,0.0,0.0,0.0
5,Migración,CNH-M3-MISIÓN/2018,Servicios Múltiples de Burgos,-,-,-,30,101,69,66,69,32,26,27,85,503,2021-01-01,Terrestre,Burgos,1P,19.445353,0.0,105.803889,0.450041,0.0,105.803889
